url,proveedor,codigo,consecutive_404s,first_404_date,last_check_date
https://www.rodomateriales.com.ar/producto/cbwle/block-de-cemento-13x20x40,RODO MATERIALES,39,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0001.107,EL LADRILLERO,20,0,,2026-04-25
https://castienda.com.ar/producto/cemento-fuerte-x-25-kg-holcim-copia/,CAS,1,0,,2026-04-25
https://tienda.layeserarosarina.com.ar/productos/placas-durlock-125mm-12x240-m/,LA YESERA ROSARINA,37,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0001.405,EL LADRILLERO,21,0,,2026-04-25
https://castienda.com.ar/producto/maestro-cemento-de-albanileria-x-25-kg-holcim-copia/,CAS,2,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/cementos/copia-de-cemento-avellaneda-x-50-kg/,LA ECONOMICA,34,0,,2026-04-25
https://www.durline.com.ar/#!/producto/83/,DURLINE,38,0,,2026-04-25
http://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0002.204,EL LADRILLERO,21,0,,2026-04-25
https://castienda.com.ar/producto/cal-hidratada-holcim-x-25-kg/,CAS,2,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.006,EL LADRILLERO,22,0,,2026-04-25
https://castienda.com.ar/producto/bolson-de-arena-comun-de-110-tn-aprox/,CAS,3,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.007,EL LADRILLERO,22,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/arena-comun-x-metro/,LA ECONOMICA,34,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.042,EL LADRILLERO,23,0,,2026-04-25
https://castienda.com.ar/producto/bolson-de-arena-gruesa-especial-de-110-tn-aprox/,CAS,3,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.107,EL LADRILLERO,23,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/cales-molidas/cal-hidratada-extra-avellaneda-x-25-kg/,LA ECONOMICA,35,29,2026-03-28,2026-04-25
https://castienda.com.ar/producto/bolson-piedra-binder-6-12-x-110-tn-aprox/,CAS,4,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.133,EL LADRILLERO,24,0,,2026-04-25
https://castienda.com.ar/producto/bolson-piedra-granitica-x-700-kg-aprox/,CAS,4,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.090,EL LADRILLERO,24,0,,2026-04-25
https://castienda.com.ar/producto/tector-morteros-revoque-monocapa-3-en-1-x-25-kg-holcim/,CAS,5,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/cales-molidas/cal-hidratada-santa-elena-x-20-kg/,LA ECONOMICA,35,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0003.091,EL LADRILLERO,25,0,,2026-04-25
https://castienda.com.ar/producto/revoque-fino-a-la-cal-exterior-x-25-kg-holcim/,CAS,5,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.002,EL LADRILLERO,25,0,,2026-04-25
https://castienda.com.ar/producto/revoque-fino-a-la-cal-interior-x-25-kg-holcim/,CAS,6,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/bolson-de-arena-grande/,LA ECONOMICA,36,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.003,EL LADRILLERO,26,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-portante-12-x-19-x-33/,CAS,6,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.004,EL LADRILLERO,26,0,,2026-04-25
https://laeconomica.com.ar/tienda/materiales-de-construccion/arenas/bolson-de-arena-chico/,LA ECONOMICA,36,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-portante-18-x-19-x-33/,CAS,7,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.005,EL LADRILLERO,27,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.007,EL LADRILLERO,27,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-tabique-8-x-18-x-33/,CAS,7,0,,2026-04-25
http://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.008,EL LADRILLERO,28,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0004.019,EL LADRILLERO,28,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-tabique-12-x-18-x-33/,CAS,8,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.693,EL LADRILLERO,29,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-tabique-18-x-18-x-33/,CAS,8,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.694,EL LADRILLERO,29,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-portante-12-x-19-x-33-palmar/,CAS,9,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.695,EL LADRILLERO,30,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-dm20-doble-muro-20-x-18-x-33-ceramica-rosario/,CAS,9,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.696,EL LADRILLERO,30,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.697,EL LADRILLERO,31,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-techo-11-x-25-x-38-palmar/,CAS,10,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.651,EL LADRILLERO,31,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-telgopor-100-x-38-x-12/,CAS,10,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.652,EL LADRILLERO,32,0,,2026-04-25
https://castienda.com.ar/producto/ladrillo-comun-22-x-11-x-45/,CAS,11,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.653,EL LADRILLERO,32,0,,2026-04-25
https://castienda.com.ar/producto/tector-aditivo-hidrofugo-1230-x-20-lts-holcim/,CAS,11,28,2026-03-28,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.661,EL LADRILLERO,33,0,,2026-04-25
https://elladrillero.com.ar/cobcgi?proid=cgsoftware&prog=loginw1&func=Detalle&codigo=0007.662,EL LADRILLERO,33,0,,2026-04-25
https://castienda.com.ar/producto/sika-1-bidon-x-10-lts/,CAS,12,0,,2026-04-25
https://castienda.com.ar/producto/sika-3-sin-cloruro-bidon-2/,CAS,12,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-extra-line-blanco-mate-atrim/,CAS,13,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-line-blanco-mate-atrim/,CAS,13,0,,2026-04-25
https://castienda.com.ar/producto/zocalo-de-eps-plain-blanco-mate-atrim/,CAS,14,0,,2026-04-25
https://castienda.com.ar/producto/pastina-classic-x-2-kg-weber/,CAS,14,0,,2026-04-25
https://castienda.com.ar/producto/pastina-prestige-x-2-kg-weber/,CAS,15,0,,2026-04-25
https://castienda.com.ar/producto/pastina-performance-x-1-kg-klaukol/,CAS,15,0,,2026-04-25
https://castienda.com.ar/producto/pastina-clasica-x-1-kg-klaukol/,CAS,16,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-impermeable-holcim-x-25-kg/,CAS,16,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-para-porcelanatos-holcim-x-25-kg/,CAS,17,0,,2026-04-25
https://castienda.com.ar/producto/pegamento-flexible-holcim-x-25-kg/,CAS,17,0,,2026-04-25
https://castienda.com.ar/producto/ceramico-glaciar-36-x-36-alberdi-2da/,CAS,18,28,2026-03-28,2026-04-25
https://castienda.com.ar/producto/azulejo-ceramico-brick-biselado-blanco-bizantina/,CAS,18,0,,2026-04-25
https://castienda.com.ar/producto/guardacanto-quadra-marfil-stone-10-mm-x-10-mm-x-25-m/,CAS,19,0,,2026-04-25
https://castienda.com.ar/producto/adhesivo-rellenador-pro-fix-atrim/,CAS,19,0,,2026-04-25
https://castienda.com.ar/producto/monocomando-mesada-arizona-fv/,CAS,20,0,,2026-04-25
